Browser 2_Crosswalk 3_Chrome 4_SeaMonkey 5_Maxthon 6_AppEngine-Google 7_Firefox_Mobile 8_Other 9_Apple_Mail 10_QQ_Browser 11_Android 12_QQ_Browser_Mobile 13_BlackBerry_WebKit 14_Mobile_Safari_UI/WKWebView 15_Mobile_Safari 16_Mail.ru_Chromium_Browser 17_Samsung_Internet 18_Opera 19_Facebook 20_Safari 21_IE_Mobile 22_Pale_Moon 23_Netscape 24_Chrome_Mobile_iOS 25_Konqueror 26_UC_Browser 27_Amazon_Silk 28_HeadlessChrome 29_Thunderbird 30_Chrome_Mobile 31_Dragon 32_Edge_Mobile 33_Opera_Mobile 34_Puffin 35_Edge 36_Iron 37_IE 38_MobileIron 39_Vivaldi 40_Firefox 41_Yandex_Browser 42_Coc_Coc 43_Chromium 44_Seznam_prohle 45_Opera_Neon 46_Firefox_iOS 47_ThunderBrowse 48_Chrome_Mobile_WebView 49_Sogou_Explorer 50_QupZilla 
2018-2-4 0 24.2976066597 0 60.0 0 33.1428571429 100.0 0 0 28.0 0 0 20.0 38.4020618557 0 27.8481012658 35.6589147287 0 32.3008849558 11.1111111111 100.0 0 40.0 0 100.0 33.3333333333 0 0 49.2486338798 0 31.25 25.0 0 32.384341637 0 40.6360424028 0 0 41.6201117318 57.1428571429 25.0 0 0 0 0 0 48.6486486486 100.0 0 
2018-2-5 0 21.8158347676 0 50.0 0 26.3636363636 100.0 0 0 20.0 0 0 50.0 39.3482196741 0 27.9245283019 33.3333333333 0 32.0413436693 11.1111111111 0 0 60.0 0 100.0 31.25 0 0 41.4857142857 0 23.0769230769 42.8571428571 100.0 31.5112540193 0 42.5287356322 0 37.5 38.4229390681 33.3333333333 0 50.0 0 0 0 0 30.0 0 0 
2018-2-6 0 22.2511951326 100.0 0 0 28.4403669725 0 0 0 21.7391304348 0 0 0 36.4569961489 0 21.3438735178 30.2083333333 100.0 32.8947368421 0 0 0 40.0 0 33.3333333333 27.2727272727 0 0 35.9004739336 0 0 12.5 0 32.3717948718 0 37.9487179487 0 60.0 32.0968962907 0 0 0 0 0 100.0 0 33.3333333333 0 0 
2018-2-7 0 28.0794701987 20.0 0 0 23.2142857143 0 0 0 38.0952380952 0 100.0 0 36.5610328638 0 22.3282442748 19.1489361702 0 31.5634218289 40.0 0 0 100.0 0 0 26.6666666667 0 0 36.9696969697 50.0 33.3333333333 25.0 0 26.2237762238 33.3333333333 36.170212766 0 66.6666666667 31.2156862745 12.5 0 50.0 0 0 0 0 15.7894736842 0 0 
2018-2-8 0 27.3885350318 33.3333333333 100.0 0 26.7326732673 0 0 0 19.2307692308 0 0 50.0 35.585106383 0 19.1489361702 26.6666666667 0 31.4666666667 0 0 0 28.5714285714 0 50.0 30.0 0 0 36.9289340102 0 75.0 33.3333333333 0 30.0911854103 25.0 40.5797101449 0 50.0 29.3721973094 25.0 0 22.2222222222 0 0 0 0 21.0526315789 0 0 
2018-2-9 0 26.7821184052 0 66.6666666667 0 26.0162601626 100.0 0 100.0 41.6666666667 0 0 66.6666666667 38.2568453529 0 26.2820512821 33.6283185841 0 32.5581395349 16.6666666667 0 0 33.3333333333 0 100.0 18.75 0 0 39.367816092 0 38.4615384615 50.0 100.0 30.6451612903 66.6666666667 44.5229681979 0 40.0 32.4739103745 50.0 40.0 0 0 0 0 0 37.5 0 0 
2018-2-10 0 26.3613861386 0 66.6666666667 0 29.0909090909 0 0 0 21.4285714286 0 0 16.6666666667 34.8180890853 0 22.3342939481 34.0 0 32.0113314448 27.2727272727 0 0 33.3333333333 0 0 10.5263157895 0 0 34.8497854077 0 31.25 27.2727272727 0 28.1984334204 0 41.5789473684 0 75.0 31.712962963 33.3333333333 0 66.6666666667 0 0 0 0 33.3333333333 0 0 
2018-2-11 100.0 24.7575953458 0 100.0 0 19.4444444444 100.0 0 0 42.1052631579 0 0 33.3333333333 35.1580934403 0 22.8956228956 24.7422680412 0 30.421686747 0 0 0 66.6666666667 0 0 7.69230769231 0 0 35.2637021717 50.0 14.2857142857 0 0 29.057591623 100.0 38.418079096 0 16.6666666667 31.9505736981 33.3333333333 0 50.0 0 100.0 100.0 0 28.5714285714 0 0 
2018-2-12 0 23.8813229572 50.0 33.3333333333 0 21.8390804598 0 0 0 27.2727272727 0 0 100.0 35.8004827031 0 22.1105527638 32.9268292683 0 25.5474452555 0 0 100.0 20.0 0 50.0 30.0 0 0 33.0578512397 0 33.3333333333 33.3333333333 0 28.2868525896 0 33.3333333333 0 40.0 27.0888302551 33.3333333333 50.0 0 0 0 100.0 0 33.3333333333 0 0 
2018-2-13 0 22.8571428571 33.3333333333 0 0 23.2876712329 0 0 0 40.9090909091 0 0 25.0 37.0117792932 0 23.8775510204 26.2626262626 0 33.0687830688 63.6363636364 0 0 16.6666666667 0 100.0 34.7826086957 0 0 32.8767123288 0 37.5 20.0 0 30.0595238095 0 41.2371134021 100.0 42.8571428571 31.0821181888 20.0 33.3333333333 25.0 0 0 66.6666666667 0 25.0 0 0 
